temp_max,temp_min,humidity_morning,humidity_evening,rainfall_mm,consecutive_wet_days,wind_speed_kmh,crop_stage,pest_risk_level
31.2,21.5,88.4,65.2,8.5,3,11.4,2,2
28.5,19.2,74.1,52.3,0.0,0,14.8,1,0
34.0,24.8,62.5,41.0,0.0,0,18.2,1,0
26.8,18.0,92.6,78.4,24.5,4,8.6,2,2
29.4,20.1,81.3,59.7,3.2,2,12.0,2,1
36.5,26.2,55.0,34.2,0.0,0,16.5,0,0
27.1,17.9,89.5,72.1,12.0,3,9.4,3,2
32.8,22.4,70.2,48.6,0.0,1,13.1,1,0
25.4,16.8,94.2,82.0,31.4,5,7.2,2,2
30.5,21.0,78.6,55.4,1.8,1,10.5,2,1
33.2,23.5,67.4,45.2,0.0,0,15.2,0,0
28.9,19.8,85.0,68.2,9.0,3,11.8,2,2
35.1,25.0,58.4,36.5,0.0,0,17.4,1,0
26.2,17.5,91.0,76.8,18.2,4,8.1,3,2
31.8,22.0,73.5,50.1,0.0,0,12.7,1,0
29.8,20.5,82.4,61.0,4.5,2,10.9,2,1
37.0,27.1,51.2,32.0,0.0,0,19.0,0,0
27.5,18.3,88.1,70.5,10.5,3,9.8,2,2
32.1,22.8,69.5,47.8,0.0,1,14.0,1,0
24.8,16.2,95.5,85.2,38.0,6,6.5,2,2
30.0,20.8,79.2,56.8,2.1,1,11.2,2,1
34.5,24.2,64.0,42.5,0.0,0,16.8,0,0
28.2,19.0,86.4,69.5,7.8,3,10.4,2,2
35.8,25.6,56.7,35.1,0.0,0,18.1,1,0
26.9,18.1,90.2,75.4,15.6,4,8.9,3,2
31.5,21.8,72.0,49.2,0.0,0,13.5,1,0
29.1,20.0,83.8,62.5,5.2,2,11.6,2,1
36.2,26.5,53.8,33.5,0.0,0,17.9,0,0
27.8,18.6,87.3,71.2,11.4,3,9.2,2,2
32.5,23.0,68.8,46.9,0.0,1,14.5,1,0
25.1,16.5,93.8,83.5,28.0,5,7.8,2,2
30.8,21.4,77.9,54.8,1.2,1,10.8,2,1
33.9,23.8,65.2,43.8,0.0,0,15.9,0,0
28.6,19.5,85.8,68.9,8.4,3,11.1,2,2
35.4,25.2,57.5,35.8,0.0,0,17.6,1,0
26.5,17.8,91.8,77.5,20.1,4,8.4,3,2
32.0,22.2,71.4,48.5,0.0,0,13.0,1,0
29.5,20.3,81.9,60.4,3.8,2,11.3,2,1
36.8,26.8,52.4,32.8,0.0,0,18.5,0,0
27.2,18.0,88.9,71.8,13.2,3,9.6,2,2
32.9,23.2,69.1,47.2,0.0,1,13.8,1,0
25.8,17.0,94.8,84.1,33.5,5,7.0,2,2
30.2,21.1,78.3,55.9,2.5,1,10.2,2,1
34.2,24.5,63.1,41.8,0.0,0,16.2,0,0
28.0,19.2,87.0,70.1,9.8,3,10.7,2,2
35.9,25.8,55.9,34.8,0.0,0,18.3,1,0
26.0,17.2,92.4,78.2,22.0,4,8.0,3,2
31.3,21.6,72.8,49.8,0.0,0,13.2,1,0
29.2,20.1,82.9,61.8,4.9,2,11.5,2,1
36.4,26.4,53.1,33.1,0.0,0,18.8,0,0
